English;Português;简体中文;繁體中文
But when that happens, just keep your chin up and confidently make your next bet!;Mas quando isso acontecer, mantém a cabeça erguida e avança para a próxima aposta com confiança!;不过真输的时候，给我昂首挺胸继续下注！;不過真輸的時候，給我昂首挺胸繼續下注！
This is not something pops would be proud of...;Isto não é algo que orgulharia o pápá...;虽然老爸要是知道肯定不会夸你...;雖然老爸要是知道肯定不會誇你...
That <sprite name="Rowl"> <style="LYellow">kid</style> got some nerve eh?;Aquela <sprite name="Rowl"> <style="LYellow">raposita</style> tem uma lata, hein?;<sprite name="Rowl">那个<style="LYellow">小鬼</style>胆子不小啊？;<sprite name="Rowl">那個<style="LYellow">小鬼</style>膽子不小啊？
I made his <style="LYellow">Skill Tree</style> better and not even a thank you! AHAHAHAH!;Quer dizer, eu melhorei a <style="LYellow">Árvore de Habilidades</style> dele e nem um obrigado! AHAHAHAH!;我给他<style="LYellow">技能树</style>升级了连句谢谢都没有！啊哈哈哈！;我給他<style="LYellow">技能樹</style>升級了連句謝謝都沒有！啊哈哈哈！
Regardless! Got a mission for you! I need you to show me that ability in action!;De qualquer forma! Tenho uma missão para ti! Preciso que me mostres aquela habilidade em ação!;不管了！给你个任务——我要看你实战演示这个能力！;不管了！給你個任務——我要看你實戰示範這個能力！
If you could get like 30 augments in a single round we could show everyone how strong the ability truly is!;Se conseguisses uns 30 aumentos em uma única rodada, poderíamos mostrar a todos o quão forte a habilidade realmente é!;要是单轮拿到30个强化，就能让大伙见识这技能有多逆天！;要是單輪拿到30個強化，就能讓大伙見識這技能有多逆天！
Oh it's Mr. Gambling guy over here!;Oh, se não é o Sr. Apostador aqui!;哟，这不是我们的赌神先生吗！;喲，這不是我們的賭神先生嗎！
All that betting must've made you go nuts eh? AHAHAH;Todas essas apostas devem ter te deixado louco, hein? AHAHAH;赌到脑壳都坏掉啦？啊哈哈！;賭到腦殼都壞掉啦？啊哈哈！
Since you showed how good that ability was I even took the iniciative to create a new style for it!;Já que mostraste o quão boa essa habilidade era, eu até tomei a iniciativa de criar um novo estilo para ela!;既然你证明了这技能的潜力，我特意给它搞了个新皮肤！;既然你證明了這技能的潛力，我特意給它搞了個新皮膚！
With this, new consequences, both bad and good may come up, whenever you gamble! Just to spice things up you know?;Com isso, novas consequências, tanto boas como más, podem surgir sempre que apostares! Só para apimentar as coisas, percebes?;现在每次幸运博弈都会触发随机效果——有好有坏，这样才刺激嘛！;現在每次賭博都會觸發隨機效果——有好有壞，這樣才刺激嘛！
But hey don't you worry now! If something bad happens you just gotta gamble again to fix it right?;Mas ei, não faças essa cara! Se algo mau acontecer, é só apostar de novo para consertar, certo?;别慌！要是搞砸了...再赌一把不就解决了？;別慌！要是搞砸了...再賭一把不就解決了？
Arghh! You really are a treasure hunter eh?;Arghh! És realmente um caçador de tesouros, hein?;啊哈！你小子天生就是寻宝的料！;啊哈！你這小子天生就是尋寶的料！
Collecting all those embers in just one round ain't an easy task;Sacar essas brasas todas em apenas uma rodada não é uma tarefa fácil;单轮收集这么多余烬可不容易;單輪收集這麼多餘燼可不容易
But now that you've proved that you are as skilled as a true pirate, go ahead and just keep shooting with these <style="LYellow">penetrative roundshots;Mas agora que provaste que és tão habilidoso quanto um verdadeiro pirata, vai em frente e dá uso a estes novos <style="LYellow">tiros penetrantes;既然你已证明自己有海盗的实力，就继续用这些<style="LYellow">穿透弹</style>大闹一场吧！;既然你已證明自己有海盜的實力，就繼續用這些<style="LYellow">穿透彈</style>大鬧一場吧！
Oh I love snow darling!;Ah, eu amo neve querido!;噢～雪景最棒了！;噢～雪景最棒了！
Actually, when I was a teenager I spent a couple months in the highest of mountains;Na verdade, quando eu era adolescente, passei alguns meses nas montanhas mais altas;其实我少年时曾在雪山之巅住过数月;其實我少年時曾在雪山之巔住過數月
But people there cared more about their own survival than having a good fashion sense, so I ended up leaving;Mas os animais de lá preocupavam-se mais com a própria sobrevivência do que com ter um bom senso de moda, então acabei por voltar;可惜那群人只顾生存不懂时尚，最后只能离开;可惜那群人只顧生存不懂時尚，最後只能離開
Still, seeing snow brings me some good memories;Mas mesmo assim, ver neve traz-me boas memórias;不过飘雪总能勾起些美好回忆呢～;不過飄雪總能勾起些美好回憶呢～
I believe that if we had <style="LYellow">100 <style="LBlue">Snow Pools</style></style> at the same time we could replicate what living there was like;Acredito que se tivéssemos <style="LYellow">100 <style="LBlue">Poças de Neve</style></style> ao mesmo tempo, poderíamos replicar como era lá viver;要是能同时存在<style="LYellow">100个<style="LBlue">雪潭</style></style>，大概就能重现当年景致了;要是能同時存在<style="LYellow">100個<style="LBlue">雪潭</style></style>，大概就能重現當年景致了
Will you do that for me? Darling;Farias isso por mim? Querido;愿意帮我这个忙吗，亲爱的？;願意幫我這個忙嗎，親愛的？
Ahhh Flowers! The best thing nature can offer! Could you plant them around for me darling?;Ahhh Flores! A melhor coisa que a natureza nos pode oferecer! Poderias plantá-las por aí, querido?;啊啊～鲜花！大自然最棒的馈赠！能帮我多种些吗？;啊啊～鮮花！大自然最棒的饋贈！能幫我多種些嗎？
Oh but wait! But you need to be careful! I heard that in places with a lot of flowers, some animal-eating ones might start appearing...;Ah, mas espera! Tens de ter cuidado! Ouvi dizer que em lugares com muitas flores, algumas que se alimentam de animais podem começar a aparecer...;不过等等！要当心哦～听说花丛茂盛之处...会冒出些吃肉的品种呢...;不過等等！要當心哦～聽說花叢茂盛之處...會冒出些吃肉的品種呢...
Oh you are curious about it? Well... if you want to see them that much I believe a field of <style="LYellow">50 Flowers</style> should be big enough;Ah, estás curioso sobre isso é? Bem... se queres vê-las assim tanto, acredito que um campo com <style="LYellow">50 Flores</style> deve ser grande o suficiente;你很好奇？嗯...真想见识的话...<style="LYellow">50朵花</style>这么大应该够了;你很好奇？嗯...真想見識的話...<style="LYellow">50朵花</style>這麼大應該夠了
If you manage to find anything come and tell me all about it!;Se conseguires encontrar algo, vem cá e conta-me tudinho!;有发现随时来告诉我;有發現隨時來告訴我
Did you know that roses are one of my favourite flowers darling?;Sabias que rosas são uma das minhas flores favoritas, querido?;知道吗？这可是我最爱的花～;知道嗎？這可是我最愛的花～
They are not only pretty, but know how to defend themselves! That's fashion and utility!;Elas não são apenas bonitas, mas também sabem defender-se! Isso é moda e utilidade!;不仅美丽，还懂得自卫！这才是时尚与实用并存！;不僅美麗，還懂得自衛！這才是時尚與實用並存！
The thing is that, even with all these thorns protecting the rose, it still ends up getting more damaged than the attacker;A questão é que, mesmo com todos estes espinhos protegendo a rosa, ela ainda acaba ficando mais danificada do que o atacante;但问题是...就算有尖刺保护，受伤的往往还是玫瑰本身...;但問題是...就算有尖刺保護，受傷的往往還是玫瑰本身...
If we could somehow invert that situation we would have a true Rose Warrior on our hands!;Se pudéssemos de alguma forma inverter esta situação, teríamos uma verdadeira Rosa Guerreira nas nossas mãos!;要是能逆转这种局面，就能培养出真正的<style="粉红">玫瑰战士</style>了！;要是能逆轉這種局面，就能培養出真正的<style="粉紅">玫瑰戰士</style>了！
Music really is one of the best ways to express yourself, don't you think so darling?;A música é realmente uma das melhores formas de nos expressarmos, não achas querido?;音乐才是最棒的表达方式，你说呢亲爱的？;音樂才是最棒的表達方式，你說呢親愛的？
I personally love upbeat songs! When I was younger I used to play rythm games all night long!;Eu pessoalmente adoro músicas animadas! Quando eu era criança, costumava jogar jogos de ritmo toda a noite!;我自己超爱动感歌曲！年轻时经常通宵玩节奏游戏呢！;我自己超愛動感歌曲！年輕時經常通宵玩節奏遊戲呢！
Oh you wanna try it? Well... I can try to recreate it, but we need an upbeat song first!;Ah, também queres tentar? Bem... Posso tentar recriar um deles, mas precisamos de uma música animada primeiro!;想试试看？嗯...我可以尝试重现，但首先需要一首欢快的歌曲！;想試試看？嗯...我可以嘗試重現，但首先需要一首歡快的歌曲！
If you could show me a maxed out that <style="LYellow">Resonance</style> ability in-game, it should be enough to get me inspired! <i>fu fu;Se pudesses maximizar e mostrar-me a habilidade de <style="LYellow">Ressonância</style>, isso há de ser suficiente para me inspirar! <i>fu fu;如果你能在游戏里展示满级的<style="LYellow">共鸣</style>能力，应该就能激发我的灵感了！<i>呼呼～;如果你能在遊戲裡展示滿級的<style="LYellow">共鳴</style>能力，應該就能激發我的靈感了！<i>呼呼～
Oh I love cold places! I just hate that I always need to wear a lot of clothes...;Ah, eu amo lugares frios! Só odeio ter de usar sempre tanta roupa...;我超爱寒冷的地方！只是讨厌总要穿那么多衣服...;我超愛寒冷的地方！只是討厭總要穿那麼多衣服...
I admire chunkier animals in that regard since they can bear the cold much better than me;Admiro animais mais robustos nesse aspecto, já que eles suportam o frio muito melhor do que eu;在这方面我很羡慕圆滚滚的动物，它们比我耐寒多了;在這方面我很羨慕圓滾滾的動物，它們比我耐寒多了
I remember reading about an animal that was so chunky it could even freeze and survive without a scratch! How amazing is that!;Lembro-me de ler sobre um animal que era tão robusto que podia até congelar e sobreviver sem um arranhão! Quão incrível é isso!;我记得读过有种动物胖到被冻住也能毫发无伤！多神奇啊！;我記得讀過有種動物胖到被凍住也能毫髮無傷！多神奇啊！
Maybe if we applied that same principle to the campfire we could discover something interesting don't you think darling?;Talvez se aplicássemos esse mesmo princípio à fogueira, poderíamos descobrir algo interessante, não achas querido?;要是把这个特性应用到营火上，说不定会有趣发现呢亲爱的？;要是把這個特性應用到營火上，說不定會有趣發現呢親愛的？
Wait darling! I see that you just started figuring out new styles!;Espera! Vi que acabaste de começar a descobrir novos estilos!;等等亲爱的！我发现你刚开始探索新风格！;等等親愛的！我發現你剛開始探索新風格！
You know that I do love me some fashion! So I want to help wherever I can!;Bom, sabes que eu amo moda! Então quero ajudar onde puder!;你知道我最热衷时尚了！所以想尽力帮忙！;你知道我最熱衷時尚了！所以想盡力幫忙！
Right now you don't have a lot of styles but when they start increasing you will see that it's hard to keep track of everything!;Por agora não tens muitos estilos, mas quando eles começarem a aumentar, vais ver que é difícil acompanhar tudo!;现在你风格不多，但等选择多起来会很难管理呢！;現在你風格不多，但等選擇多起來會很難管理呢！
Since I'm used to this life I will give you a hand darling!;Como estou acostumado a essa vida, vou te dar uma mãozinha querido!;作为过来人，让我帮你参谋吧！;作為過來人，讓我幫你參謀吧！
Whenever you feel inspired to change up your outfit, just come and chat!;Sempre que quiseres mudar o teu visual, basta passar por cá!;想换造型时随时来找我聊天哦！;想換造型時隨時來找我聊天哦！
Oh! You did it darling!;Ah! Conseguiste querido!;啊！成功了呢亲爱的！;啊！成功了呢親愛的！
The campfire got so chunky that I bet it could survive on top of the coldest mountains;A fogueira ficou tão robusta que aposto que até poderia sobreviver no topo das montanhas mais frias;营火现在胖嘟嘟的，肯定能在最冷的山顶存活;營火現在胖嘟嘟的，肯定能在最冷的山頂存活
Most animals cannot even reach there without completely freezing!;A maioria dos animais nem consegue lá chegar sem congelar completamente!;大多数动物上去直接就会冻僵！;大多數動物上去直接就會凍僵！
If we use that to our advantage it will be extremely usefull don't you think darling?;Usar isso a nosso favor será extremamente útil, não achas querido?;好好利用这点会很有帮助的对吧？;好好利用這點會很有幫助的對吧？
Oh! Amazing! So much snow!;Ah! Incrível! Tanta neve!;哇！太棒了！这么多雪！;哇！太棒了！這麼多雪！
It really does feel like the mountains I used to live in!;Realmente parece as montanhas em que eu costumava viver!;简直像我曾经居住的山脉！;簡直像我曾經居住的山脈！
Don't do it like I did and forget to wrap up nicely with a warm jacket before going to such a place;Não faças como eu e não te esqueça de te agasalhar bem com um casaco quente antes de ir para um lugar destes;千万别像我当年那样忘记裹上暖和的外套就去那种地方;千萬別像我當年那樣忘記裹上暖和的外套就去那種地方
I wouldn't want you to freeze darling;Eu ficaria triste se congelasses, querido;可不希望你冻僵呢亲爱的;可不希望你凍僵呢親愛的
Waaaaah! You made a field of <style="LYellow">50 Flowers?!;Waaaaah! Um campo com <style="LYellow">50 Flores?!;哇啊啊！你种了<style="LYellow">50朵花</style>？！;哇啊啊！你種了<style="LYellow">50朵花</style>？！
Didn't you perhaps find any <style="LYellow">Carnivore Plants</style>??;Sendo assim, não terás encontrado algumas <style="LYellow">Plantas Carnívoras</style>??;难道没发现任何<style="LYellow">食肉植物</style>吗？？;難道沒發現任何<style="LYellow">食肉植物</style>嗎？？
As I said, sometimes they appear in big flower fields, to consume animals that wander around carelessly;Como eu tinha dito, às vezes elas aparecem em grandes campos de flores, para consumir animais que andam por ali descuidadamente;我说过的，它们总在大片花田里游荡，专门吞食粗心的小动物～;我說過的，它們總在大片花田裡遊蕩，專門吞食粗心的小動物～
If you haven't found any up until now, maybe with this new <style="LYellow">style</style> you will be able to do it!!;Bom, se não encontraste nenhuma até agora, talvez com este novo <style="LYellow">estilo</style> consigas!!;如果还没找到，试试这个新<style="LYellow">皮肤</style>说不定能行！！;如果還沒找到，試試這個新<style="LYellow">皮膚</style>說不定可以！！
Yipee! It's the revenge of the roses!;Yipee! É a vingança das rosas!;好耶！玫瑰复仇记！;好耶！玫瑰復仇記！
I've never seen on <style="LYellow">thorn</style> do so much damage!;Eu nunca vi um único <style="LYellow">espinho</style> causar tanto dano!;从没见过<style="LYellow">尖刺</style>能造成这么大伤害！;從沒見過<style="LYellow">尖刺</style>能造成這麼大傷害！
But hey darling, do you know what's better than seeing a rose getting its revenge?;Mas ei, querido, sabes o que é melhor do que ver uma rosa a vingar-se?;不过亲爱的，知道比复仇玫瑰更棒的是什么吗？;不過親愛的，知道比復仇玫瑰更棒的是什麼嗎？
Seeing a rose not get hit at all, of course!!;Ver uma rosa não ser atingida de todo, obviamente!!;当然是根本不会被碰到的玫瑰啦！！;當然是根本不會被碰到的玫瑰啦！！
That's why I came up with this new style, just take a look honey!;É por isso que eu criei este novo estilo, vem ver querido!;所以我专门做了这个新皮肤，快看看甜心！;所以我專門做了這個新皮膚，快看看甜心！
I got it darling! I got inspired by your music!;Consegui querido! Fiquei inspirado pela tua música!;成功啦亲爱的！你的音乐启发了我！;成功啦親愛的！你的音樂啟發了我！
Actually, I even went out of my way to make a <style="LYellow">rythm minigame</style> similar to the ones I used to play as a child!;Na verdade, eu até já criei um <style="LYellow">minijogo de ritmo</style> semelhante aos que eu jogava quando criança!;我甚至做了个<style="LYellow">节奏小游戏</style>，就像童年玩的那种！;我甚至做了個<style="LYellow">節奏小遊戲</style>，就像童年玩的那種！
There's just a slight problem... I don't really have a place to connect this game to...;Só que há um pequeno problema... Eu não tenho um lugar onde conectar este jogo...;只是有个小问题...找不到连接游戏的地方...;只是有個小問題...找不到連接遊戲的地方...
If only there was an appropriate place for little silly games like the one I made...;Se ao menos houvesse um sítio apropriado para joguinhos como este...;要是也有个专门放趣味小游戏的场所就好了...;要是也有個專門放趣味小遊戲的場所就好了...
Oh well! Maybe in the future we will be able to discover something darling!;Ah, bem! Talvez no futuro possamos descobrir algo não é querido!;算了！将来总会发现的！;算了！將來總會發現的！
And I was here thinking, where should I connect this game to?;E eu estava aqui a pensar, onde deveria conectar este jogo?;我正琢磨着该把这游戏放哪儿好呢——;我正琢磨著該把這遊戲放哪裡好呢——
And I actually had the amazing idea to put it where the other silly little minigames like this are;E acabei por ter a ideia incrível de colocá-lo onde estão os outros minijogos como este;灵光一闪！干脆让它和那些有趣的小游戏作伴吧~;靈光一閃！乾脆讓它和那些有趣的小遊戲作伴吧~
Yes! That's right darling! I've put the game I've made in the <style="LYellow">Casino</style>!;Sim! Isso mesmo, querido! Eu coloquei o jogo que fiz no <style="LYellow">Casino</style>!;没错亲爱的！我把它放在了<style="LYellow">娱乐场</style>里！;沒錯親愛的！我把它放在了<style="LYellow">娛樂場</style>裡！
Go check it out! It's under the name of <style="LBlue">Techno Turtle!;Vai lá ver! Supostamente estará sobre o nome de <style="LBlue">Tartaruga Techno!;快去玩吧！游戏名叫<style="LBlue">电音龟龟</style>！;快去玩吧！遊戲名叫<style="LBlue">電音龜龜</style>！
Oh! And before you leave, if you can show me how good your rythm is then I can make a new style all about it!;Ah! E antes de ires, se me conseguisses mostrar o quão bom é o teu ritmo, então até poderia criar um novo estilo totalmente baseado nisso!;啊！临走前~要是能让我见识下你的节奏感…说不定能为你量身定制全新玩法哦！;啊！臨走前~要是能讓我見識一下你的節奏感…說不定能為你量身訂製全新玩法哦！
That's it! Remember how I was looking for a place to connect my <style="LYellow">rythm game?;É isto! Lembras-te como eu estava à procura dum lugar para conectar o meu <style="LYellow">jogo de ritmo?;想起来了！之前不是发愁<style="LYellow">节奏游戏</style>该放哪儿吗？;想起來了！之前不是發愁<style="LYellow">節奏遊戲</style>該放哪裡嗎？
I think there's not a more appropriate space to do that other than the <style="LYellow">Casino!;Acho que não há um espaço mais apropriado para isso do que o <style="LYellow">Casino!;还有比<style="LYellow">娱乐场</style>更合适的地方嘛！;還有比<style="LYellow">娛樂場</style>更合適的地方嘛！
I've asked <sprite name="Gyomyo"><style="LYellow">Mr. Gyomyo</style> to feature the game there!;Eu até já pedi ao <sprite name="Gyomyo"><style="LYellow">Sr. Gyomyo</style> para encaixar o jogo lá!;特地拜托了<sprite name="Gyomyo"><style="LYellow">鱼夫先生</style>在那儿展示呢！;特地拜託了<sprite name="Gyomyo"><style="LYellow">魚夫先生</style>在那裡展示呢！
Go take a look! It should be under the name <style="LBlue">Techno Turtle</style>!;Vai lá dar uma olhada! Supostamente está sobre o nome de <style="LBlue">Tartaruga Techno</style>!;快去看看吧！游戏名叫<style="LBlue">电音龟龟</style>哦~;快去看看吧！遊戲名叫<style="LBlue">電音龜龜</style>哦~
Oh! But before you go! I wanna challenge you darling!;Ah! Mas antes de ires! Queria desafiar-te, querido!;啊等等！在出发之前——敢不敢接受我的挑战呀？;啊等等！在出發之前——敢不敢接受我的挑戰呀？
If you manage to show me how good your rythm is, then I will present you with a brand new <style="LYellow">style!;Se conseguires mostrar-me o quão bom é o teu ritmo, então eu vou presentear-te com um novo <style="LYellow">estilo!;要是能展示你的节奏感，就送你全新<style="LYellow">皮肤</style>！;要是能展示你的節奏感，就送你全新<style="LYellow">皮膚</style>！
Oh my! Such rythm! Wonderful!;Oh meu Deus! Que ritmo! Maravilhoso!;天呐！这节奏感！绝了！;天啊！這節奏感！絕了！
This was truly what I was looking for, darling!;Era exatamente isto que eu estava à procura querido!;这正是我想要的，亲爱的！;這正是我想要的，親愛的！
Whenever I listen to music, I feel like in my own world, protected from anything outside of it!;Sempre que ouço música, sinto-me no meu próprio mundo, protegido de qualquer coisa de fora!;每当音乐响起，我就仿佛置身结界，外界纷扰与我无关！;每當音樂響起，我就彷彿置身結界，外界紛擾與我無關！
It almost feels like gaining wearing a big chunky, but fashionable armor!;É quase como ganhar uma grande e robusta, mas estilosa armadura!;就像穿了件又厚又时髦的铠甲呢！;就像穿了件又厚又時髦的鎧甲呢！
And just as I promised you, I'm going to reward you with a new <style="LYellow">style</style> for your collection!;E assim como tinha prometido, vou recompensar-te com um novo <style="LYellow">estilo</style> para a coleção!;按照约定，奖励你收藏品+1<style="LYellow">新皮肤</style>！;按照約定，獎勵你收藏品+1<style="LYellow">新皮膚</style>！
Anyways, <style="LYellow">Rowl</style>, this is a especial bulletin board where we can organize <style="LYellow">tasks</style> that need to be completed around the<style="LYellow"> Campsite;De qualquer forma, <style="LYellow">Rowl</style>, este é um quadro especial onde podemos organizar as <style="LYellow">tarefas</style> que precisam de ser feitas no <style="LYellow"> Acampamento;对了，<style="LYellow">罗尔</style>，这是特制公告板，用来管理<style="LYellow">营地</style>的<style="LYellow">待办事项</style>。;對了，<style="LYellow">羅爾</style>，這是特製公告板，用來管理<style="LYellow">營地</style>的<style="LYellow">待辦事項</style>。
Look, I'm no scientist alright! But I bet we can do some crazy stuff with this little ability;Olha, eu não sou cá nenhum cientista, mas aposto que podemos fazer algumas coisas loucas com esta habilidade;听着，我可不是科学家！但用这个小小能力绝对能搞大事！;聽著，我可不是科學家！但用這個小小能力絕對能搞大事！
You probably already noticed but these static chains can be used to spread a lot of effects;Provavelmente já reparaste, mas estas cadeias estáticas podem ser usadas para espalhar muitos efeitos;你应该发现了——这些雷光锁链能传播超多效果。;你應該發現了——這些雷光鎖鏈能傳播超多效果。
I wonder what would happen once you mastered that technique, by applying <style="LYellow>20 <style="Pink">On-Hit Effects</style> in a single<style="LYellow> chain for example...;Pergunto-me o que aconteceria se dominássemos esta técnica, ao aplicar <style="LYellow>20 <style="Pink">Efeitos de Contacto</style> em uma única <style="LYellow> cadeia</style>, por exemplo...;要是能单链施加<style="LYellow">20个<style="Pink">命中效果</style>，会怎样呢...;要是能單鏈施加<style="LYellow">20個<style="Pink">命中效果</style>，會怎樣呢...
Well, guess you gotta find out!;Bem, acho que vou deixar para ti descobrires isso!;等你探索咯！;等你探索囉！
HMMM! I wonder what a marshmallow toasted on a Lava Pool would taste like;HMMM! Pergunto-me qual será o sabor de um marshmallow tostado em uma Poça de Lava;嗯——！好想知道熔岩烤棉花糖啥味道！;嗯——！好想知道熔岩烤棉花糖什麼味道！
My pops once went to a vulcano to roast one, "Best meal eveeer" he said!;O meu pápá uma vez foi a um vulcão para tostar um, "Melhor refeição de todas" disse ele!;我爸当年去火山烤过，他说"这是这辈子最好吃的"！;我爸當年去火山烤過，他說"這是這輩子最好吃的"！
Now I gotta try it you see! But there are no vulcanos near the campsite...;Portanto eu tenho mesmo que experimentar! Mas infelizmente não há vulcões perto do acampamento...;现在轮到我了！可惜营地附近没火山...;現在輪到我了！可惜營地附近沒火山...
Oh H-<size=80%>Hey there...;Oh O-<size=80%>Olá...;<size=80%>啊...你...你好...;<size=80%>啊...你...你好...
<size=80%>I wasn't expecting... a sudden conversation...;<size=80%>Eu não estava à espera... de uma conversa assim repentina...;<size=80%>没想到...突然聊天...;<size=80%>沒想到...突然聊天...
<size=80%>I've noticed... you are new here... welcome...;<size=80%>Notei que... és novo aqui... bem-vindo...;<size=80%>注意到你...是新来的...欢迎...;<size=80%>注意到你...是新來的...歡迎...
<size=80%>If you need anything... I can show you my... uh... business...;<size=80%>Se precisares de algo... posso mostrar-te o meu... hmm... negócio...;<size=80%>需要的话...可以看看...我的...呃...生意...;<size=80%>需要的話...可以看看...我的...呃...生意...
<size=80%>bascially... I can find you items... that will help you... on your journey...;<size=80%>basicamente... tenho itens... que te ajudarão... na tua jornada...;<size=80%>就是...帮你找...冒险用的...道具...;<size=80%>就是...幫你找...冒險用的...道具...
Oh wait! Are we talking about that illegal blackmarket we are running in the tent?;Calma lá! Estamos a falar daquele mercado negro completamente ilegal que estamos a fazer na tenda?;等等！是说帐篷里那个非法黑市吗？;等等！是說帳篷裡那個非法黑市嗎？
GO BACK INSIDE <sprite name="Jhat"> <style="LYellow">JHAT!;VOLTA PARA A TENDA <sprite name="Jhat"> <style="LYellow">JHAT!;滚回去<sprite name="Jhat"> <style="LYellow">贾特</style>！;滾回去<sprite name="Jhat"> <style="LYellow">賈特</style>！
<style="Grey"><i>Jhat leaves...;<style="Grey"><i>Jhat sai...;<style="Grey"><i>贾特离开了...;<style="Grey"><i>賈特離開了...
A-<size=80%>Anyways... don't listen to him...;A-<size=80%>De qualquer forma... não lhe dês ouvidos...;啊...<size=80%>总之...别理他...;啊...<size=80%>總之...別理他...
<size=80%>It's a pleasure to have you here...;<size=80%>É um prazer ter-te aqui...;<size=80%>很高兴你来这里...;<size=80%>很高興你來這裡...
Oh H-<size=80%>hello... new guy...;Oh O-<size=80%>olá... novato...;噢...<size=80%>你好...新来的...;噢...<size=80%>你好...新來的...
<size=80%>I'm not a good... talker... just to give a heads up...;<size=80%>Eu não sou um bom... conversador... só para avisar...;<size=80%>先说好...我不太会...说话...;<size=80%>先說好...我不太會...說話...
B-<size=80%>but welcome... anyways...;B-<size=80%>mas bem-vindo... de qualquer forma...;不...<size=80%>不过还是欢迎你...;不...<size=80%>不過還是歡迎你...
<size=80%>If you need anything... I can help yo-;<size=80%>Se precisares de algo... posso ajud-;<size=80%>需要什么...我可以帮...;<size=80%>需要什麼...我可以幫...
If you need anything we got you back!;Se precisares de algo, estamos aqui para isso!;需要什么尽管说！我们罩你！;需要什麼儘管說！我們罩你！
Jhat! I T-<size=90%>I told you not to come out of the tent!;Jhat! Eu D-<size=90%>Disse-te para não saíres da tenda!;贾特！我...<size=90%>我不是让你别出帐篷吗！;賈特！我...<size=90%>我不是讓你別出帳篷嗎！
Oh! But since the new guy is only staying in for the Demo I though it would be better for me to show myself!;Ah! Mas como o novato só vai ficar para a Demo, achei que seria melhor eu aparecer!;哎呀～但新人只玩试玩版，我觉得该露个脸嘛...;哎呀～但新人只玩試玩版，我覺得該露個臉嘛...
Anyways... I'll be heading back;Bom... vou masé voltar para dentro;我先回去了;我先回去了
NEW FRIEND UNLOCKED!!!;NOVO AMIGO DESBLOQUEADO!!!;新朋友已解锁！！！;新朋友已解鎖！！！
What's up dude? You are new here right?;Como vai meu? És novo aqui, né?;嘿兄弟！新来的对吧？;嘿兄弟！新來的對吧？
Do you like camping? Do you like campfires?? Do you like... Marshmallows???;Gostas de acampar? Gostas de fogueiras?? Gostas de... Marshmallows???;你喜欢露营吗？喜欢营火吗？喜欢...棉花糖吗？;你喜歡露營嗎？喜歡營火嗎？喜歡...棉花糖嗎？
A-AH! I knew it! Everyone likes marshmallows!;A-AH! Eu sabia! Toda a gente gosta de marshmallows!;啊哈！我就知道！没人能拒绝棉花糖！;啊哈！我就知道！沒人能拒絕棉花糖！
That means we got a lot in common then! We should hang around more often!;Sendo assim temos muito em comum! Devíamos passar mais tempo juntos!;看来我们很合拍啊！以后多一起玩！;看來我們很合拍啊！以後多一起玩！
IT'S THE NEW GUY!!;É O NOVATO!!;是新朋友！！;是新朋友！！
C'mon new guy, tell me some new guy stuff!;Vamos lá, novato, conta-me algo que um novato diria!;快跟我说说你的故事！;快跟我說說你的故事！
Oh, you are more of a listener I see! No problem I'll start then!;Ah, você és mais de ouvir, estou a ver! Mas sem problema, eu começo então!;噢，看来你更擅长倾听？那就我先来！;噢，看來你更擅長傾聽？那就我先來！
My name is Rowl, I'm the one responsible for taking care of this little campfire over here!;Chamo-me Rowl e sou responsável por cuidar desta pequena fogueira aqui!;我叫罗尔，专门负责照看这个小营火。;我叫羅爾，專門負責看顧這個小營火。
Setting up the strongest campfire possible is no easy task! So I'll accept any help you may want to offer!;Montar a fogueira mais forte possível não é uma tarefa fácil! Então aceito qualquer ajuda que queiras oferecer!;要打造最强营火可不简单！所以很需要你的帮助！;要打造最強營火可不簡單！所以很需要你的幫助！
OH MY GOD A NEW FRIEND!;MEU DEUS! UM AMIGO NOVO!;天啊是新朋友！;天啊是新朋友！
Tell me you like playing around campfires as well dude!;Diz-me que também gostas de brincar às fogueiras meu!;你一定也喜欢玩营火对吧？;你一定也喜歡玩營火對吧？
Oh you do! Awesome!;Ah gostas mesmo?! Fantástico!;太棒了！;太棒了！
If that's the case, do you see this little campfire over here?;Sendo assim, estás a ver esta pequena fogueira aqui?;看到这个小营火了吗？;看到這個小營火了嗎？
I'm responsible for making it survive through the night!;Eu sou  o responsável por fazê-la sobreviver durante a noite!;我的任务就是让它撑过夜晚！;我的任務就是讓它撐過夜晚！
You may think it's easy but for some reason wild animals hate it, so it's not an easy task!;Podes pensar que é fácil, mas por alguam motivo os nimais selvagens odeiam fogo, então não é uma tarefa simples!;别以为很简单——不知为何野兽特别讨厌它！;別以為很簡單——不知為何野獸特別討厭它！
If you can lend me a paw over here I would be grateful bro!;Então se me pudesses dar aqui uma patinha, agradeceria!;能帮把手的话就太感谢了兄弟！;能幫個忙的話就太感謝了兄弟！
Hey! Calm down kid!;Hey! Tenha calma jovem!;喂！冷静点小子！;喂！冷靜點小子！
I know you just arrived but you need to take things slowly!;Eu sei que acabou de chegar, mas tens de se acalmar!;我知道你刚来，但得慢慢来！;我知道你剛來，但得慢慢來！
